"","$\chi^2$","df","$p$-value","CFI","RMSEA","SRMR","AIC","BIC"
"Initial Model",170.655776649286,47,6.66133814775094e-16,0.825611260416483,0.0737285333831998,0.0737739197241967,22071.0171228417,22376.309321032
"Final Model",135.045288708084,26,1.11022302462516e-16,0.837473934288158,0.0930880855139917,0.0856163274939071,16494.1041888011,16661.3875850697
